Variable,Lag,AIC,BIC,Pseudo_R2
RWA_Credito,1,777.8915494646914,786.964932659874,0.0013296877211607105
RWA_Credito,2,760.6116418990704,769.6321585801167,0.0017891144185216978
RWA_Credito,3,736.9790294761691,745.9452441790835,0.001980692388497629
RWA_Credito,4,713.8619567198409,722.7723538465211,0.001407109036498766
RWA_Mercado,1,778.7225604042071,787.7959435993897,0.00025730754715913573
RWA_Mercado,2,761.9676283972237,770.98814507827,1.3787071073689816e-07
RWA_Mercado,3,738.4298413939102,747.3960560968246,5.276657090824699e-06
RWA_Mercado,4,714.8204514055763,723.7308485322565,5.875395120247262e-05
RWA_Operacional,1,778.0528433922409,787.1262265874235,0.0011215455633790672
RWA_Operacional,2,760.9862091125144,770.0067257935607,0.0012949413855727343
RWA_Operacional,3,737.5031800530162,746.4693947559306,0.0012670124948682693
RWA_Operacional,4,713.6331862767947,722.5435834034749,0.0017289301116049094
Capital_Principal,1,755.6887002424794,764.762083437662,0.029981410797299657
Capital_Principal,2,741.160257280272,750.1807739613183,0.02745166412153921
Capital_Principal,3,713.1475594754003,722.1137741783147,0.034429461361505376
Capital_Principal,4,691.8557976194701,700.7661947461503,0.03236410543138368
Alavancagem,1,763.727848670844,772.8012318660266,0.019607271323927478
Alavancagem,2,751.2560813438326,760.2765980248789,0.014132068015580868
Alavancagem,3,728.7191557294034,737.6853704323178,0.01322728082581881
Alavancagem,4,705.2251971527462,714.1355942794264,0.013556804654101251
PIB,1,778.6635586862744,787.736941881457,0.0003334464636695067
PIB,2,761.3674137264369,770.3879304074832,0.0007920115148450924
PIB,3,737.3021412897416,746.268355992656,0.001540745520313469
PIB,4,712.5371514111209,721.4475485378011,0.003270768795519574
IPCA,1,774.7183495910795,783.7917327862621,0.005424551543998901
IPCA,2,760.4708084961728,769.4913251772191,0.00197491837399999
IPCA,3,738.2810844154006,747.247299118315,0.0002078231566825517
IPCA,4,714.4861158002641,723.3965129269443,0.0005290780128037742
Spread,1,759.3553181574534,768.428701352636,0.025249814411879568
Spread,2,737.1067539567676,746.1272706378139,0.03279952148744869
Spread,3,715.0040161651478,723.9702308680622,0.031901722441830205
Spread,4,699.2885176354628,708.198914762143,0.02190818326478461
