Indice NPL (%),Probabilidade Acumulada (CDF),Interpretacao
0.00%,0.0300,3.0% das observações são <= 0.00%
3.10%,0.2489,24.9% das observações são <= 3.10%
6.21%,0.6495,64.9% das observações são <= 6.21%
9.31%,0.9185,91.8% das observações são <= 9.31%
12.41%,0.9714,97.1% das observações são <= 12.41%
15.52%,0.9828,98.3% das observações são <= 15.52%
18.62%,0.9943,99.4% das observações são <= 18.62%
21.72%,0.9943,99.4% das observações são <= 21.72%
24.83%,0.9957,99.6% das observações são <= 24.83%
27.93%,0.9957,99.6% das observações são <= 27.93%
31.03%,1.0000,100.0% das observações são <= 31.03%
